id,center_name,district,taluk_or_city,address,latitude,longitude,contact_person,phone_number,map_link,status
BOY-1,IMAM SHAFI ISLAMIC ACADEMY KUMBLA,KASARAGODE,,,12.5797516,74.9618046,SHEIKHALI ASHAFI,87149 27760,https://maps.app.goo.gl/P774MtxNZDiyiGxt6,TRUE
BOY-2,"KUNIYA GROUP OF INSTITUTIONS, KUNIYA KASARAGODE",KASARAGODE,,,12.4169113,75.0786238,HAFIZ JAMAL,8078 562 986,https://maps.app.goo.gl/qBNs7pBNhd4zdLEA8,TRUE
BOY-3,DARUL BIRR ISLAMIC ACADEMY PUNCHAKKAD PAYYANNUR,KANNUR,,,12.0797,75.1989459,SHABEER PUNCHAKKAD,8129129786,https://maps.app.goo.gl/hKr4eqrFs68NsmCR8,TRUE
BOY-4,SHAMSUL ULAMA ISLAMIC ACADEMU KUTHUPARAMBA,KANNUR,,,11.8255375,75.5677969,DAVOOD,90480 68889,https://www.google.com/maps/search/?api=1&query=11.8255375%2C75.5677969,TRUE
BOY-5,SUPRABHATHAM AUDITORIUM CALICUT,KOZHIKODE,,,11.2402463,75.7796516,SIRAJ AHAMMED,9497273315,https://maps.app.goo.gl/ya6E6oncM8LD1a5F7,TRUE
BOY-6,SMI ENGLISH MEDIUM SCHOOL KUNHIPPALLI CHOMBALA VATAKARA (MAHE),KOZHIKODE,,,11.6759556,75.5524669,CPS FAIZY AZHIYOOR,97465 77756,https://maps.app.goo.gl/UrfCccrdkH4cDSoy6,TRUE
BOY-7,SAMASTHALAYAM KALPETTA WAYANAD (SHARIA PLUS ONLY) / SUIA VENGAPPALLY (SHARI'A ONLY),WAYANAD,,,11.6119539,76.08106599999999,UNAIS ALI WAFY,9744049515,https://maps.app.goo.gl/NuRTpBzuyvmJJHZQA,TRUE
BOY-8,GRACE VALLEY ISLAMIC COLLEGE FOR BOYS MARAVATTOM CHENGOTTUR KADAMPUZHA,MALAPPURAM EAST,,,10.9676882,76.0630482,MAJID WAFY,9747394246,https://maps.app.goo.gl/FPVPRzLyvcDvvePY8,TRUE
BOY-9,HMS AUP SCHOOL THURAKKAL MANJERI,MALAPPURAM EAST,,,11.1183226,76.1077281,DR. M ABDUL QHAYYUM,70256 66630,https://maps.app.goo.gl/rynX3nLatjtyRixG6,TRUE
BOY-10,CRESCENT SNEC SHE CAMPUS VELIMUKKU,MALAPPURAM WEST,,,11.2951663,76.27194589999999,HAMEED SKIMVB,98952 98674,https://maps.app.goo.gl/vtCTeBp23gXT8aeG7,TRUE
BOY-11,AKMM COLLEGE KAINIKKARA,MALAPPURAM WEST,,,11.1295045,76.0059852,JABIR ANWARY,9495810402,https://maps.app.goo.gl/kQeKETUt92yXJxCJA,TRUE
BOY-12,ORPHANAGE HIGHER SECONDARY SCHOOL VALLAPUZHA,PALAKKAD,,,10.841701,76.25599489999999,JAMALUDHEEN,9895667953,https://maps.app.goo.gl/4jEgfTSt3wf8HS3w7,TRUE
BOY-13,"SHARAFUL ISLAM MADRASA KOTTOPADAM, MANNARKKAD",PALAKKAD,,,11.0086443,76.34939609999999,SUHAIL RAHMANI,9847451071,https://maps.app.goo.gl/BFc9FWcaRMsoRkta7,TRUE
BOY-14,MIC ISLAMIC AND ARTS COLLEGE KAIPAMANGALAM,THRISSUR,,,10.3201425,76.13704229999999,RIYAS HUDAWI,8129568629,https://maps.app.goo.gl/2mgxAY4UTwYQkAkj8,TRUE
BOY-15,NOORUL HUDA EDUCATION CENTER CHERUTHURUTHY THRISSUR,THRISSUR,,,10.7396419,76.2812228,ASHKAR ALI ANWARY,9147962711,https://maps.app.goo.gl/oY34CTmV4RzYoctB7,TRUE
BOY-16,MARKAZ ISLAMIC & ARTS COLLEGE KALAMASSERY,ERNAKULAM,,,10.0454925,76.31442609999999,ANAS KAVILUMPARA,,https://maps.app.goo.gl/unTHsZhZ1d6UaEXw8,TRUE
BOY-17,SHAMSUL ULAMA ISLAMIC AND ARTS COLLEGE  PATHIYANKARA THRIKKUNNAPPUZHA,ALAPPUZHA,,,9.2439597,76.41494019999999,JOUHAR VENGAPPALLY,9656347325,https://maps.app.goo.gl/7UERsfNhuys3FTWa6,TRUE
BOY-18,LAJNATHUL MUHAMMADIYYA HS SCHOOL ZAKARIYA BAZAR ALAPPUZHA,ALAPPUZHA,,,9.490053699999999,76.3268229,MUBASH,7012233890,https://maps.app.goo.gl/BsCPvXVPrW4rhVR2A,TRUE
BOY-19,ISRA COLLEGE ADMIMALI,IDUKKY,,,10.0115043,76.9527836,ASLAM SANAE ERNAKULAM,77364 88561,https://maps.app.goo.gl/TtquVKogddVM6aZ17,TRUE
